state,sa2_code,sa2_name,unemployment_rate,unemployed_persons,labour_force
South Australia,402031176,Valley View - Gilles Plains,4.1,229,5620
South Australia,402041040,Ingle Farm,4.5,362,8006
South Australia,402041041,Para Hills,3.8,311,8270
South Australia,402041043,Parafield Gardens,5.7,510,8922
South Australia,402041044,Paralowie,5.6,546,9743
South Australia,402041046,Salisbury,9.6,804,8340
South Australia,402041047,Salisbury East,5.3,502,9530
South Australia,402041048,Salisbury North,8.0,734,9184
South Australia,402041171,Mawson Lakes - Globe Derby Park,2.0,185,9363
South Australia,402041172,Pooraka - Cavan,5.1,215,4204
South Australia,402051049,Golden Grove,1.8,107,5817
South Australia,402051050,Greenwith,2.1,115,5511
South Australia,402051051,Highbury - Dernancourt,1.4,94,6496
South Australia,402051052,Hope Valley - Modbury,3.2,290,9160
South Australia,402051053,Modbury Heights,2.3,247,10811
South Australia,402051054,Redwood Park,2.0,191,9507
South Australia,402051055,St Agnes - Ridgehaven,2.5,177,7001
South Australia,403011056,Brighton (SA),1.9,158,8480
South Australia,403011057,Glenelg (SA),1.6,197,12585
South Australia,403021058,Edwardstown,3.6,336,9330
South Australia,403021059,Hallett Cove,2.1,164,7735
South Australia,403021060,Marino - Seaview Downs,2.2,128,5847
South Australia,403021061,Mitchell Park,4.3,419,9847
South Australia,403021062,Morphettville,2.9,296,10067
South Australia,403021063,Sheidow Park - Trott Park,2.0,132,6449
South Australia,403021064,Warradale,3.4,331,9835
South Australia,403031065,Belair,1.2,33,2803
South Australia,403031066,Bellevue Heights,1.9,90,4737
South Australia,403031067,Blackwood,1.1,84,7933
South Australia,403031068,Colonel Light Gardens,1.6,156,9753
South Australia,403031069,Mitcham (SA),1.1,107,9711
South Australia,403031070,Panorama,2.1,104,4898
South Australia,403041071,Aberfoyle Park,2.4,165,6889
South Australia,403041072,Aldinga,4.5,402,9022
South Australia,403041073,Christie Downs,12.0,545,4560
South Australia,403041074,Christies Beach,6.2,386,6239
South Australia,403041075,Clarendon,1.5,27,1802
South Australia,403041076,Coromandel Valley,1.1,32,2796
South Australia,403041077,Flagstaff Hill,1.6,104,6650
South Australia,403041078,Hackham - Onkaparinga Hills,4.9,195,3998
South Australia,403041079,Hackham West - Huntfield Heights,12.0,463,3844
South Australia,403041080,Happy Valley,2.4,199,8241
South Australia,403041083,McLaren Vale,2.1,99,4748
South Australia,403041084,Morphett Vale - East,5.6,422,7512
South Australia,403041085,Morphett Vale - West,8.1,429,5299
South Australia,403041086,Reynella,3.8,225,5936
South Australia,403041088,Willunga,1.8,40,2184
South Australia,403041089,Woodcroft,2.4,166,6807
South Australia,403041177,Seaford - Seaford Meadows,4.3,367,8534
South Australia,403041178,Seaford Rise - Moana,3.4,220,6515
South Australia,404011090,Beverley,2.9,178,6073
South Australia,404011091,Flinders Park,2.9,307,10427
South Australia,404011092,Henley Beach,1.9,188,9905
South Australia,404011093,Hindmarsh - Brompton,3.5,451,12851
South Australia,404011094,Royal Park - Hendon - Albert Park,3.9,154,3993
South Australia,404011095,Seaton - Grange,3.5,350,9999
South Australia,404011096,West Lakes,3.2,260,8235
South Australia,404011097,Woodville - Cheltenham,4.4,524,11956
South Australia,404021099,Largs Bay - Semaphore,3.2,304,9593
South Australia,404021100,North Haven,5.0,427,8476
South Australia,404021101,Port Adelaide,6.9,490,7147
South Australia,404021102,The Parks,6.8,767,11339
South Australia,404031105,Fulham,2.0,36,1765
South Australia,404031106,Lockleys,2.3,199,8493
South Australia,404031107,Plympton,2.2,385,17732
South Australia,404031108,Richmond (SA),3.1,359,11718
South Australia,404031109,West Beach,1.2,39,3180
South Australia,405011110,Barossa - Angaston,2.1,80,3792
South Australia,405011111,Light,2.9,163,5610
South Australia,405011112,Lyndoch,2.4,95,3900
South Australia,405011113,Mallala,5.2,97,1878
South Australia,405011114,Nuriootpa,2.8,113,3974
South Australia,405011115,Tanunda,1.8,44,2379
South Australia,405021116,Clare,2.9,62,2157
South Australia,405021117,Gilbert Valley,3.6,98,2686
South Australia,405021118,Goyder,7.4,145,1963
South Australia,405021119,Wakefield - Barunga West,6.9,306,4420
South Australia,405031120,Jamestown,4.9,114,2313
South Australia,405031121,Peterborough - Mount Remarkable,7.5,189,2510
South Australia,405031122,Port Pirie,11.7,756,6458
South Australia,405031123,Port Pirie Surrounds,5.6,88,1560
South Australia,405041124,Kadina,7.8,208,2663
South Australia,405041125,Moonta,6.5,141,2166
South Australia,405041126,Wallaroo,7.9,149,1894
South Australia,405041127,Yorke Peninsula - North,6.7,211,3145
South Australia,405041128,Yorke Peninsula - South,7.0,125,1786
South Australia,406011129,Ceduna,12.0,175,1459
South Australia,406011130,Eyre Peninsula,3.6,130,3645
South Australia,406011131,Kimba - Cleve - Franklin Harbour,3.2,73,2276
South Australia,406011132,Le Hunte - Elliston,4.1,50,1214
South Australia,406011133,Port Lincoln,5.7,494,8726
South Australia,406011134,West Coast (SA),11.9,234,1966
South Australia,406011136,Whyalla,13.7,1460,10646
South Australia,406021138,APY Lands,62.8,585,932
South Australia,406021139,Coober Pedy,21.8,161,740
South Australia,406021140,Quorn - Lake Gilles,5.6,62,1102
South Australia,406021141,Outback,9.5,122,1288
South Australia,406021142,Port Augusta,13.6,910,6685
South Australia,406021143,Roxby Downs,1.4,38,2719
South Australia,407011144,Goolwa - Port Elliot,3.9,193,4994
South Australia,407011145,Kangaroo Island,2.0,58,2832
South Australia,407011146,Strathalbyn,2.6,108,4171
South Australia,407011147,Strathalbyn Surrounds,2.5,119,4794
South Australia,407011148,Victor Harbor,3.9,243,6227
South Australia,407011149,Yankalilla,3.1,100,3193
South Australia,407021150,Grant,2.1,70,3341
South Australia,407021151,Kingston - Robe,2.0,43,2152
South Australia,407021152,Millicent,5.1,125,2473
South Australia,407021154,Naracoorte,3.1,111,3576
South Australia,407021155,Naracoorte Surrounds,1.2,18,1558
South Australia,407021156,Penola,3.1,56,1805
South Australia,407021157,Tatiara,1.5,66,4341
South Australia,407021158,Wattle Range,2.2,43,1978
South Australia,407021173,Mount Gambier - East,4.2,358,8473
South Australia,407021174,Mount Gambier - West,4.5,364,8038
South Australia,407031159,Barmera,4.5,155,3471
South Australia,407031160,Berri,6.7,137,2057
South Australia,407031161,Karoonda - Lameroo,3.2,52,1608
South Australia,407031162,Loxton,3.6,102,2854
South Australia,407031163,Loxton Surrounds,2.9,29,984
South Australia,407031164,Mannum,5.3,167,3137
South Australia,407031165,Murray Bridge,6.4,579,9028
South Australia,407031166,Murray Bridge Surrounds,3.0,67,2222
South Australia,407031167,Renmark,6.2,138,2224
South Australia,407031168,Renmark Surrounds,2.5,80,3211
South Australia,407031169,The Coorong,4.3,125,2877
South Australia,407031170,Waikerie,5.1,168,3269
Western Australia,501011001,Augusta,1.8,77,4370
Western Australia,501011003,Busselton Surrounds,1.2,98,8170
Western Australia,501011004,Margaret River,1.7,127,7313
Western Australia,501011293,Busselton - East,2.9,158,5543
Western Australia,501011294,Busselton - West,2.5,288,11349
Western Australia,501021005,Australind - Leschenault,2.2,264,12083
Western Australia,501021007,Capel,2.7,92,3453
Western Australia,501021008,College Grove - Carey Park,6.6,239,3636
